Date,Open,High,Low,Close,Adjusted_close,Volume
2013-01-14,87.62,89.33,87.57,88.55,88.55,592166
2013-01-15,87.91,89.96,87.56,89.72,89.72,895897
2013-01-16,89.22,90.23,87.85,88.17,88.17,872815
2013-01-17,88.11,89.05,87.72,87.79,87.79,923284
2013-01-18,87.56,89.49,87.51,88.91,88.91,1092825
2013-01-22,88.77,89.72,88.06,88.7,88.7,1058881
2013-01-23,88.52,90.17,87.75,89.86,89.86,1445308
2013-01-24,90.27,92.12,90.27,91.8,91.8,1329540
2013-01-25,91.69,92.66,91.255,92.17,92.17,957551
2013-01-28,92.28,92.96,91.94,92.44,92.44,988679
2013-01-29,92.12,92.52,91.61,91.92,91.92,1012231
2013-01-30,92.08,92.95,91.63,91.74,91.74,696578
2013-01-31,91.83,92.8,91.39,92.65,92.65,1139451
2013-02-01,92.86,93.99,92.61,93.39,93.39,1092137
2013-02-04,93.31,93.59,92.21,92.63,92.63,1099293
2013-02-05,92.76,93.72,92.59,93.08,93.08,981545
2013-02-06,92.73,93.53,92.39,92.59,92.59,1390585
2013-02-07,100,102.77,99.1,100.04,100.04,4734864
2013-02-08,100.66,103.66,100.64,101.57,101.57,2285491
2013-02-11,101.68,102.87,101,102.4,102.4,1327198
2013-02-12,102.05,102.34,100.73,101.56,101.56,1080779
2013-02-13,101.59,103.15,101.29,102,102,978910
2013-02-14,101.6,102.24,101.26,101.68,101.68,1131711
2013-02-15,101.91,102.775,100.42,101.31,101.31,1039744
2013-02-19,101.5,102.31,101.33,102.16,102.16,840113
2013-02-20,102.17,102.35,101.17,101.39,101.39,839822
2013-02-21,101.05,101.928,100.61,100.77,100.77,1091761
2013-02-22,101.41,102.31,100.71,102.25,102.25,953984
2013-02-25,102.5,103.695,101.17,101.35,101.35,1577726
2013-02-26,101.35,103,100.55,101.76,101.76,1205948
2013-02-27,101.74,102.79,101.01,102.25,102.25,954497
2013-02-28,102.12,103.12,101.66,101.79,101.79,1537840
2013-03-01,101.68,102.86,101.126,102.62,102.62,1351713
2013-03-04,102.67,104.26,102.34,103.61,103.61,1163097
2013-03-05,104,104.95,103.775,104.57,104.57,1048201
2013-03-06,104.57,104.78,103.19,103.44,103.44,721091
2013-03-07,103.76,104.94,103.14,104.38,104.38,779200
2013-03-08,104.7,104.89,103.77,104.7,104.7,662184
2013-03-11,104.38,104.71,103.9,104.3,104.3,519340
2013-03-12,104.3,104.45,103.32,103.87,103.87,777585
2013-03-13,104.22,104.99,103.89,104.3,104.3,744613
2013-03-14,104.57,104.57,103.16,103.5,103.5,856156
2013-03-15,103.03,104.3425,102.94,103.76,103.76,1541894
2013-03-18,103.28,105.22,103.02,104.36,104.36,869996
2013-03-19,104.28,104.75,102.84,103.25,103.25,787091
2013-03-20,103.86,104,103.1,103.49,103.49,741683
2013-03-21,103.26,103.8,101.95,102.77,102.77,797906
2013-03-22,103.1,103.54,102.47,103.26,103.26,625692
2013-03-25,103.67,104.04,102.55,103.33,103.33,867222
2013-03-26,103.33,103.9,102.815,103.59,103.59,767659
2013-03-27,102.78,103.71,102.23,102.75,102.75,636637
2013-03-28,102.58,103.1,101.86,102.439,102.439,1629740
2013-04-01,103.13,103.3999,101.6,102.7,102.7,729139
2013-04-02,103.3,104.898,102.76,104.38,104.38,837249
2013-04-03,104.28,104.63,103.21,103.48,103.48,670460
2013-04-04,103.32,104.21,103.27,103.77,103.77,377385
2013-04-05,102.88,103.19,101.75,103.05,103.05,551399
2013-04-08,102.91,104.16,102.91,103.91,103.91,545837
2013-04-09,102.38,103.08,100.8,102.06,102.06,939329
2013-04-10,101.99,103.81,101.54,103.5,103.5,1269600
2013-04-11,103.79,105.4,103.51,104.01,104.01,1231628
2013-04-12,104.05,104.94,102.54,103.14,103.14,998456
2013-04-15,102.88,103.14,99.56,99.99,99.99,1272636
2013-04-16,101.02,101.11,99.8,99.99,99.99,1220583
2013-04-17,99.67,99.945,97.765,98.67,98.67,1255155
2013-04-18,99,99.8,98.01,98.84,98.84,840696
2013-04-19,98.56,99.82,98.37,99.36,99.36,1243217
2013-04-22,99.17,99.75,98.8,99.48,99.48,642874
2013-04-23,100,101.55,99.695,101.37,101.37,1366845
2013-04-24,102.15,102.57,100.91,101.12,101.12,871331
2013-04-25,104.17,108.99,103.99,106.13,106.13,1577559
2013-04-26,106.15,106.695,105.34,106.44,106.44,746857
2013-04-29,106.81,108.17,106.55,107.69,107.69,920103
2013-04-30,107.2,107.6,105.81,107.32,107.32,664439
2013-05-01,107.5,108.29,107.21,107.46,107.46,666503
2013-05-02,107.44,108.505,106.79,108.13,108.13,504268
2013-05-03,108.85,110.03,108.48,109.89,109.89,794392
2013-05-06,109.58,110.52,109.45,110.27,110.27,583901
2013-05-07,109.93,110.79,109.69,110.78,110.78,421936
2013-05-08,110.91,111,108.67,109.45,109.45,820536
2013-05-09,109.59,110.61,109.59,110.06,110.06,445027
2013-05-10,109.94,110.49,109.22,110.2,110.2,479225
2013-05-13,109.75,110.44,108.58,109.65,109.65,486376
2013-05-14,109.47,112.12,109.47,111.89,111.89,925725
2013-05-15,111.3,112.17,111.135,111.96,111.96,489687
2013-05-16,111.24,111.84,110.22,110.71,110.71,707314
2013-05-17,111,111.45,110.33,110.95,110.95,619072
2013-05-20,109.32,111.53,109.28,110.91,110.91,612149
2013-05-21,111.02,112.92,110.77,112.21,112.21,554339
2013-05-22,112.09,112.29,110.15,110.56,110.56,585248
2013-05-23,110.18,110.79,109.0701,110.23,110.23,539857
2013-05-24,109.44,111.27,109.44,110.74,110.74,424686
2013-05-28,111.19,111.72,109.67,110.75,110.75,523591
2013-05-29,110.09,110.63,109.21,110.435,110.435,487515
2013-05-30,110.54,111.32,109.91,109.98,109.98,516060
2013-05-31,109.5,111.28,108.68,108.85,108.85,970340
2013-06-03,109.24,110.26,109,110.17,110.17,722845
2013-06-04,109.84,110.72,108.61,109.53,109.53,508078
2013-06-05,109.49,110.18,107.8033,108,108,523495
2013-06-06,107.84,109.43,107.84,109.39,109.39,521619
2013-06-07,110,111.51,109.81,110.99,110.99,365181
2013-06-10,110.97,111.35,110.0525,111.1,111.1,363846
2013-06-11,110.07,111.23,110.05,110.54,110.54,300815
